speechFile,noiseType,inputSNR,snrNoisy,snrWiener,snrSpectral,snrHybrid
data/OSR_us_000_0031_8k.wav,whitehum,0,-5.48212244555779,1.00284289972679,2.55587004161294,-3.9087720864778
data/OSR_us_000_0031_8k.wav,whitehum,5,-1.67361871373406,3.33012424314003,4.13012490903662,-2.40355754812972
data/OSR_us_000_0031_8k.wav,whitehum,10,-0.0436575575161888,4.5783721352132,4.97177620307005,-0.301531885101492
data/OSR_us_000_0031_8k.wav,whitehum,15,1.06983693338064,5.20718609154282,5.45823075758717,-1.40592849879207
data/OSR_us_000_0031_8k.wav,babble,0,-4.48263342363648,1.47539606209212,2.68130333090337,-4.7726565489967
data/OSR_us_000_0031_8k.wav,babble,5,-1.95481515309362,2.97992775914746,4.1211621626225,-2.58005906625527
data/OSR_us_000_0031_8k.wav,babble,10,-0.006780369302142,4.68650413132355,5.25133756049466,-2.25049651165917
data/OSR_us_000_0031_8k.wav,babble,15,0.781404314111112,4.87069963855662,5.17207808429272,-1.15594846671906
data/OSR_us_000_0031_8k.wav,highfreq,0,-4.85695109929752,1.38905248912347,2.8866280181375,-4.23968397231743
data/OSR_us_000_0031_8k.wav,highfreq,5,-2.32635611552006,3.42940684634707,4.2574895286024,-2.57779566417339
data/OSR_us_000_0031_8k.wav,highfreq,10,-0.321654198589579,4.75389507364349,5.05354314779483,-1.76501557464631
data/OSR_us_000_0031_8k.wav,highfreq,15,0.811052911071322,5.19343217513701,5.33481438630705,-1.4691021919046
data/OSR_us_000_0011_8k.wav,whitehum,0,-9.56252611140365,-6.53386551908021,-6.15886855214356,-3.79561197718298
data/OSR_us_000_0011_8k.wav,whitehum,5,-6.92281443126528,-3.53205316616288,-3.44432999386945,0.183926107440288
data/OSR_us_000_0011_8k.wav,whitehum,10,-6.97160909522794,-2.99256924401662,-3.01001647380211,0.308503447525294
data/OSR_us_000_0011_8k.wav,whitehum,15,-6.62305156688913,-3.26323714348034,-3.32699346498473,0.349392769267671
data/OSR_us_000_0011_8k.wav,babble,0,-8.84257363604183,-5.88358014715152,-5.41458463387078,-2.63723130531313
data/OSR_us_000_0011_8k.wav,babble,5,-7.63187896458296,-4.32580499338725,-4.02023421701379,-0.514285009751698
data/OSR_us_000_0011_8k.wav,babble,10,-6.71727300489568,-3.49026801755428,-3.46473074439452,0.1329515420617
data/OSR_us_000_0011_8k.wav,babble,15,-6.53066541250488,-3.32769294066712,-3.41954239455888,0.389648201010052
data/OSR_us_000_0011_8k.wav,highfreq,0,-9.55778516415013,-4.20835359450989,-4.00575424985059,-1.80856170806982
data/OSR_us_000_0011_8k.wav,highfreq,5,-6.83717564640255,-3.58013611286616,-3.54309531280006,-3.66054500238234
data/OSR_us_000_0011_8k.wav,highfreq,10,-6.89701346628597,-3.35734522927738,-3.46401580535284,0.22087871649873
data/OSR_us_000_0011_8k.wav,highfreq,15,-6.48960053463028,-3.50636857884905,-3.56665172656127,0.454259136543138
